,URL,Company,Title,Location,Salary Min,Salary Max,Date,Work,Schedule,School,Experience,Description
0,https://www.jobs.bg/job/6526567,ДЕКАТЛОН БЪЛГАРИЯ ЕООД,"Сътрудник контактен център, 6-часов работен ден","София, Декатлон Витоша (виж карта)",None,None,05.10.2022,Постоянна работа,Непълно работно време,Подходяща и за студенти,Подходяща и за кандидати с малък или без опит,"Ние сме Decathlon – една от най-големите компании за спортно оборудване и екипировка в света.
Ако си човек с отношение към активния начин на живот и спорта и искаш да работиш това, което ти е страст, има голям шанс да станеш част от отбора на Decathlon.

НИЕ ТЪРСИМ:

Мотивирани съотборници с желание за работа в екип и притежаващи отлични комуникационни умения.

ДОСТАТЪЧНО Е ДА ПРИТЕЖАВАШ:

• Отлични комуникационни умения и много добра езикова култура
• Добра компютърна грамотност
• Познаване на различни спортове
• Инициативност и стремеж за постигане на резултати
• Способност за работа в динамична среда
• Писмен и говорим английски език

КАТО ЧАСТ ОТ ЕКИПА, Е НУЖНО ДА СЕ СПРАВЯШ С:

• Активна комуникация по телефона- входяща и изходяща линия във връзка с постъпили клиентски запитвания
• Осигуряването на възможно най-доброто обслужване на нашите клиенти и разрешаване на възникнали въпроси по имейл и вътрешни системи за обработка на клиентски запитвания
• Отговаряне на клиентски запитвания в социалните мрежи
• Спазване на вътрешно- фирмените стандарти на Декатлон България

НИЕ ЩЕ СЕ ПОГРИЖИМ ЗА ТЕБ С:

*гъвкаво работно време
*ежемесечни срещи с твоя лидер относно кариерното ти развитие в компанията
*стартова заплата от 1262 лв. бруто за 30-часова работна седмица
*100 лв месечни ваучери за храна
*месечен бонус до 10% от брутната заплата
*безплатно доп. здравно осигуряване лукс
*печалба чрез акционерство
*безплатна карта за спорт
*отстъпка в Decathlon
*безплатен паркинг

КАК ДА КАНДИДАТСТВАШ:

Представи себе си по най-подходящия според теб начин – разполагаш с творческа свобода дали да го направиш чрез видео (с дължина до 1 мин), CV или презентация."
1,https://www.jobs.bg/job/6522509,Векан Груп ООД,Аранжор - Опаковане на Подаръци и Карикатури,"София, ул. Майстор Алекси Рилец 38, ет.1, Бизнес център Сауд Сайт. (виж карта)",None,None,03.10.2022,Постоянна работа,"Пълно работно време,Непълно работно време",Подходяща и за студенти,Подходяща и за кандидати с малък или без опит,"Хей, здравей! :)

Ние сме Векан Груп ООД и помагаме на колкото може повече хора по света да направят близките си щастливи, предоставяйки им възможност да създадат свой собствен уникален подарък чрез творчество.

Ние сме абсолютен лидер в предлагането на ръчно рисувани карикатури и шаржове в България, а продуктите ни радват клиенти вече в 17 държави. 

В момента активно растем, и следващата ни цел е да увеличим поръчките 14 пъти. Основните пазари, в които работим за разпознаваемост на бранда са: България, САЩ, Великобритания, Германия и Австралия, като предстои серия от локализации за следващи пазари. Създадохме и управляваме над 10 сайта за персонализирани подаръци и шаржове на различни езици, както и съответните страници в социалните мрежи. 

Държим изключително много на коректното обслужване и търсим точно ТЕБ – позитивен, отговорен и енергичен член на нашия екип, който да осигури перфектен завършек на творбите, като ги подготви за изпращане и опакова подаръчно така, че да донесат усмивки на получателя и да бъдат получени в необходимия срок.

Освен да се забавляваш, на работа ще правиш и:
Принт на готовите творби с широкоформатна дигитална печатна машина (принтер) от най-висок клас — Epson 5000, предназначена за висококачествен печат на творби върху картон и канава/платно;
Поставяне на творбите в рамка, когато клиентът е избрал тази опция, или пък подготовка на канавата за изпращане, като я фиксираш върху дървена подрамка;
Опаковане на картините с красиви подаръчни опаковки, с вкус и стил, според повода и получателя, така че да донесат усмивки на клиентите;
Комуникация с колегите от отдел доставки и продажби, за оптимална логистика и подготовка на творбите и подаръците за експедиране;
Работа с Excel таблици и вътрешна система за обработка на поръчките, включително за автоматично създаване на товарителници, експорт на файловете, контрол на наличностите и др.;
Контрол на наличности, комуникация с партньори и доставчици, с цел осигуряване на необходимите консумативи и материали.

ТИ си нашият човек, ако:
Задачата да подготвиш, рамкираш и опаковаш 35+ творби на ден ти се струва лесна работа.
Да твориш красиви неща с ръце те вдъхновява, а да съчетаеш розова панделка и червена опаковка не те притеснява.
Excel-ът е твой добър приятел и понякога го използваш дори да планираш лятната почивка.
Говориш си с лекота както с касиера в магазина, така и с топ мениджъра в голяма корпорация.
Не губиш самообладание, ако бързаш да свършиш нещо, а до теб някой нервно потропва с крак.
Искаш да направиш света по-добро място и не спираш да се опитваш го променяш всеки ден.
Не спиш спокойно, ако си започнал/а нещо, без да го завършиш докрай.
Държиш на приятелската среда и търсиш интересна отборна игра.
Имаш желание да караш хората около теб да се усмихват.

Ние сме ТВОИТЕ хора, ако искаш:
Отлично възнаграждение, което расте в зависимост от твоите способности и постигнати резултати;
Много и разнообразни задачи, които ще развият твоя професионален и творчески потенциал;
Достъп до вътрешна база данни с обучителни курсове и програма за развитие на екипа;
Първоначално обучение от опитен ментор;
Уникална възможност за изграждане на кариера в международна компания (възможност за миграция в други отдели и вътрешно израстване, увеличавайки твоите компетенции и възнаграждение);
Ще бъдеш част от проект с голям потенциал, който развиваме със сърце в приятелска атмосфера;
Опция за 4, 6 или 8 часов работен ден, 5 дневна седмица от понеделник до петък, с опция за гъвкаво начало и край на работния ден;
Работа в комфортен офис в гр. София, кв. Манастирски Ливади.

Защо да се присъединиш?
Ти си важен!
Имаш свобода.
Ние споделяме. Знанията, които имаме и успеха, който постигаме.
Част си от млад и енергичен екип.
Твоят принос ще бъде видим и ценен.
Ще видиш как работи целият бизнес отвътре, а не само малка част от него.
Ще бъде предизвикателно, но много вдъхновяващо и удовлетворяващо.
Ще получиш титлата: „Най-нов почетен член“. 

Искаш ли да пробваш? Нека се запознаем! Ето какво следва:
Кандидатствай и изпрати CV;
Ще получиш имейл от нас със следващи стъпки (не забравяй да проверяваш СПАМ папката);
Ще проведем онлайн интервю, за да се запознаем;
Ще направим лична среща с избраните кандидати."
2,https://www.jobs.bg/job/6511212,ЯВЛЕНА - БУРГАС ООД,Брокер недвижими имоти,"Бургас, гр.Бургас, ул.Александровска № 137, вх.В, партер (виж карта)",None,None,26.09.2022,Постоянна работа,Пълно работно време,Подходяща и за студенти,Подходяща и за кандидати с малък или без опит,"Позицията е подходяща за позитивни и амбициозни хора със самочувствие, харизма и хъс.

Кои сме ние:
С най-добрите условия на заплащане!
Компания с изграден имидж и доверие в клиенти и партньори!
Стабилност, традиции и 30-годишен опит на пазара на недвижими имоти!

Ние предлагаме:
Въвеждащо обучение!
Достъп до голяма база данни от клиенти и оферти.
Приятелска и подкрепяща работна среда!
Обучение в нашата академия Явлена, където ще научите всичко, което трябва да знаете за работата в недвижими имоти и ще разполагате с инструменти за постигане на успех!

Необходимо е да притежаваш следните умения:
Предприемачески дух.
Търговски умения за осъществяване на преговори и продажби.
Добри презентационни умения.
Работа с компютър, социални мрежи и уебсайтове.
Моля, изпратете автобиография, мотивационно писмо, препоръки от предишни работодатели (ако има) и актуална снимка.
Ще се радваме да се срещнем с Вас!

Всички кандидатури ще бъдат преглеждани при пълна конфиденциалност. Предоставянето на лични данни по тази обява е доброволно и те ще бъдат използвани единствено за целите на подбора.
 "
3,https://www.jobs.bg/job/6506011,Карикатури24 ООД,"Складов Работник / Аранжор - Подготовка на пратки (опция за 4, 6 или 8 часа) (м/ж)","София, ж.к. Манастирски Ливади, Майстор Алекси Рилец No 38, ет. 1 (виж карта)",None,None,21.09.2022,Постоянна работа,"Пълно работно време,Непълно работно време",Подходяща и за студенти,Подходяща и за кандидати с малък или без опит,"Хей, здравей! :)

Ние сме Caricature 24 и помагаме на колкото може повече хора по света да направят близките си щастливи, предоставяйки им възможност да създадат свой собствен уникален подарък чрез творчество.

Ние сме абсолютен лидер в предлагането на ръчно рисувани карикатури и шаржове в България, а продуктите ни радват клиенти вече в 17 държави. 

В момента активно растем, и следващата ни цел е да увеличим поръчките 14 пъти. Основните пазари, в които работим за разпознаваемост на бранда са: България, САЩ, Великобритания, Германия и Австралия, като предстои серия от локализации за следващи пазари. Създадохме и управляваме над 10 сайта за персонализирани подаръци и шаржове на различни езици, както и съответните страници в социалните мрежи. 

Държим изключително много на коректното обслужване и търсим точно ТЕБ – позитивен, отговорен и енергичен член на нашия екип, който да осигури перфектен завършек на творбите, като ги подготви за изпращане и опакова подаръчно така, че да донесат усмивки на получателя и да бъдат получени в необходимия срок.

Твоите отговорности ще включват:
Принт на готовите творби с широкоформатна дигитална печатна машина (принтер) от най-висок клас — Epson 5000, предназначена за висококачествен печат на творби върху картон и канава/платно;
Поставяне на творбите в рамка, когато клиентът е избрал тази опция, или пък подготовка на канавата за изпращане, като я фиксираш върху дървена подрамка;
Опаковане на картините с красиви подаръчни опаковки, с вкус и стил, според повода и получателя, така че да донесат усмивки на клиентите;
Комуникация с колегите от отдел доставки и продажби, за оптимална логистика и подготовка на творбите и подаръците за експедиране;
Работа с Excel таблици и вътрешна система за обработка на поръчките, включително за автоматично създаване на товарителници, експорт на файловете, контрол на наличностите и др.;
Контрол на наличности, комуникация с партньори и доставчици, с цел осигуряване на необходимите консумативи и материали.

ТИ си нашият човек, ако:
Задачата да подготвиш, рамкираш и опаковаш 35+ творби на ден ти се струва лесна работа.
Да твориш красиви неща с ръце те вдъхновява, а да съчетаеш розова панделка и червена опаковка не те притеснява.
Excel-ът е твой добър приятел и понякога го използваш дори да планираш лятната почивка.
Говориш си с лекота както с касиера в магазина, така и с топ мениджъра в голяма корпорация.
Не губиш самообладание, ако бързаш да свършиш нещо, а до теб някой нервно потропва с крак.
Искаш да направиш света по-добро място и не спираш да се опитваш го променяш всеки ден.
Не спиш спокойно, ако си започнал/а нещо, без да го завършиш докрай.
Държиш на приятелската среда и търсиш интересна отборна игра.
Имаш желание да караш хората около теб да се усмихват.

Ще получиш (нашите условия):
Отлично възнаграждение, което расте в зависимост от твоите способности и постигнати резултати;
Много и разнообразни задачи, които ще развият твоя професионален и творчески потенциал;
Достъп до вътрешна база данни с обучителни курсове и програма за развитие на екипа;
Първоначално обучение от опитен ментор;
Уникална възможност за изграждане на кариера в международна компания (възможност за миграция в други отдели и вътрешно израстване, увеличавайки твоите компетенции и възнаграждение);
Ще бъдеш част от проект с голям потенциал, който развиваме със сърце в приятелска атмосфера;
Опция за гъвкаво работно време и почасова заетост - 4, 6 или 8 часа часов работен ден, 5 дневна седмица от понеделник до петък (от 12:00/13:00 ч. до 17:00 ч. е препоръчително присъствие в офиса с цел предаване на пратките на куриер);
Работа в комфортен офис в гр. София, кв. Манастирски Ливади.

Защо да се присъединиш?
Ти си важен!
Имаш свобода.
Ние споделяме. Знанията, които имаме и успеха, който постигаме.
Част си от млад и енергичен екип.
Твоят принос ще бъде видим и ценен.
Ще видиш как работи целият бизнес отвътре, а не само малка част от него.
Ще бъде предизвикателно, но много вдъхновяващо и удовлетворяващо.
Ще получиш титлата: „Най-нов почетен член“. 

Искаш ли да пробваш? Нека се запознаем! Ето какво следва:
Кандидатствай и изпрати CV;
Ще получиш имейл от нас със следващи стъпки;
Ще проведем онлайн интервю, за да се запознаем;
Ще направим лична среща с избраните кандидати."
4,https://www.jobs.bg/job/6527856,ЕВН БЪЛГАРИЯ ЕАД,"Експерт, енергийна политика и лицензии (по заместване)",Пловдив,None,None,06.10.2022,Временна/сезонна работа,Пълно работно време,None,None,"Основни задачи и дейности:
Предоставяне на становища относно прилагане на специализирана нормативна и поднормативна база по отношение на енергийното законодателство, включително и на пазарните правила.
Познания, свързани с развитието на електроразпределителните мрежи, присъединяване на ВЕИ централи, топлофикационни предприятия и услуги.
Комуникация с държавни институции и осигуряване на експертно съдействие при отговор на жалби от клиенти
Участие в разработването на вътрешно – нормативни документи.
Анализ на дейността на дружествата от групата на ЕВН, разкриване и представяне пред прекия ръководител на проблемни ситуации.
Идентифициране на регулаторни рискове в енергийния сектор и предлагане на мерки за ограничаването им.
Вашият профил:
Висше образование - техническо, юридическо, икономическо образование.
Минимум 3 години професионален опит на подобна позиция.
Техническа експертиза в сферата на електроенергийния сектор ще се счита за предимство.
Познания в сферата на националната и европейската политика за енергийна ефективност, както и общи познания относно политиките в сферата на климата и енергетиката на ниво Европейски съюз.
Познания в сферата на топлофикационния сектор, конкретно нормативната база, регулираща дейността му.
Опит при работа с лицензионни режими ще се счита за предимство.
Много добър писмен и говорим английски език ще се счита за предимство
Добри познания по Excel и много добро владеене на другите MS-Office продукти
Комуникативост, аналитичност, умения за работа в екип, инициативност
Активен шофьор (кат. B)
Ние Ви предлагаме:
Работа в организиран и високопрофесионален екип, ориентиран към развитие;
Възможност за професионална реализация в международна компания, в която се ценят уважението, коректността, професионалния подход, отговорността, сътрудничеството и ангажираността;
Отлична локация в центъра на Пловдив – Европейска столица на културата 2019;
Отличен социален пакет – допълнително здравно застраховане, гъвкаво работно време, възможност за работа от разстояние, карта за спорт на преференциални цени, участие в спортни събития и спартакиади, безплатни обучения и курсове и др.
Ако това предложение Ви е заинтригувало, изпратете ни подробна автобиография и мотивационно писмо, като използвате бутона „Кандидатствай“.

Краен срок: 26 октомври 2022 г.
 
Ще се свържем само с одобрените по документи кандидати.

Информираме Ви, че дружествата от групата на EVN България са администратори на лични данни по смисъла на Общия регламент за защита на данните и Закона за защита на личните данни. Обработването на Вашите лични данни е с цел подбор на персонал и е на основание на предприемане на стъпки по искане от  субекта на данните (т.е. Вие) преди сключването на договор. Срокът на съхранение е шест месеца след приключване на подбора. Събирането на личните данни е изискване при подбор на персонала и непредоставянето им ще доведе до невъзможност за следващи действия от страна на дружествата. Можете да се запознаете с нашата Декларация за поверителност на дружествата от групата на EVN България за кандидати за работа на сайта на компанията."
5,https://www.jobs.bg/job/6521729,БЪЛГЕРИАН ПРОПЕРТИС ООД,КОНСУЛТАНТ В КОНТАКТЕН ЦЕНТЪР,София,1200,2000,03.10.2022,Постоянна работа,Пълно работно време,Подходяща и за студенти,Подходяща и за кандидати с малък или без опит,"Вече 20 години BULGARIAN PROPERTIES е едно от най-разпознаваемите имена в сферата на недвижимите имоти, символ на професионализъм, устойчиво развитие и коректност към служители, клиенти и партньори.
Отстояваме лидерската си позиция с екипна работа, иновации и ползване на най-съвременни технологии.
Да работиш при нас означава гарантиран успех в имотните сделки!

С цел пълноценно клиентско обслужване търсим за екипа ни в гр. София

КОНСУЛТАНТ В КОНТАКТЕН ЦЕНТЪР

Успешните кандидати биха имали:
Опит при работа с клиенти по телефон, телемаркетинг, презентация и комуникации
Образование в подходяща сфера - недвижими имоти, икономика, бизнес, търговия, строителство;
Отлични комуникационни умения и справяне с различни въпроси и ситуации, комбинативен ум
Владеене на български като майчин език
Владеене на английски език на работно ниво (минимум В2) - писмено и говоримо
Умения за работа с компютър: MS Windows, MS Office (Word, Excel, Outlook), социални мрежи, програми за инстантна комуникация, CRM системи, софтуер за телефонни централи и други специфични софтуери
Лична мотивация и стремеж към удовлетворяване на изискванията на клиента
Професионализъм, отговорност и позитивно отношение към клиенти и колеги
Познаване на пазара на недвижими имоти и предишен опит в агенция за недвижими имоти ще се счита за предимство
Работата се състои в:
Обработка на входящи запитвания от различните комуникационни канали на компанията
Осъществяване на връзка между клиенти и колеги брокери
Отговори на въпроси и административно обслужване на клиентите на най-високо ниво
Осигуряване на пълна и изчерпателна информация за клиентите по интересуващите ги въпроси
Бърза и навременна комуникация, проактивно отношение и внимание към всеки клиент
Да си част от нас, означава да получиш:
Модерен офис с отлична работна атмосфера в екип от опитни професионалисти
Трудов договор с твърдо месечно възнаграждение плюс бонуси за постигнати резултати
Пълна мобилност чрез служебен лаптоп, телефон и разходи за транспорт
Екипна работа и ясно разпределяне на функциите между различните отдели
Достъп до иновативни технологии и постоянно усъвършенстване в сферата на комуникациите
Служебен лаптоп, мобилен телефон и номер във фирмената група
Мениджъри, които ще ти дават безценна помощ в професионалното развитие
Вълнуващи участия в медии, социални мрежи, фирмени партита и конференции
Ако предложената позиция отговоря на твоите възможности и желание за развитие, изпрати ни автобиография и актуална снимка.

Ще се свържем само с одобрените по документи кандидати.
Гарантираме пълна конфиденциалност на всички кандидатури.

Успех!"
6,https://www.jobs.bg/job/6521627,ЕНТЪРТЕЙНМЪНТ РУУМС ЕООД,Детски аниматор в Ескейп стая,София,500,550,03.10.2022,Постоянна работа,Непълно работно време,Подходяща и за студенти,Подходяща и за кандидати с малък или без опит,"Ние сме Вера и Калоян от Ескейп стаи за деца на 10 - 13г. Hour Escape For Kids и търсим Аниматори, които да се присъединят към нашия екип!

Търсиш ли работа, която да можеш да съчетаваш с университета?
Зарежда ли те общуването с деца?

Бизнесът ни расте и си търсим още колеги!

КАКВО ЩЕ ПРАВИШ В НАШИЯ ЕКИП:
- Ще се грижиш играта в Ескейп стаят да протече както трябва
- Ще се грижиш почерпката да протече както трябва
- Ще поддържаш нашата база данни
- Ще работиш със социални мрежи
- Ще поддържаш работното си място чисто и подредено
- Ще се забавляваш! :)

Какво НЯМА да правиш:
- Да пееш песнички, да си клоун, да си диджей и да носиш костюм на принцеса (децата са на възраст 10-13 години). Но ако имаш готин костюм на принцеса - облечи го някой път да го видим :)

КАКВО ЩЕ ПОЛУЧИШ, АКО СТАНЕШ ЧАСТ ОТ НАШИЯ ЕКИП?
- Ще станеш част от млад, сплотен и много готин екип.
- 20 часова работна седмица
- Гъвкав график, съобразен с университета ти (през седмицата започваме работа предимно в 16:30, а уикендите – в 10:00)
- Бонуси извън основното заплащане
- Трудов договор, платен годишен отпуск и коректно отношение
- Въвеждащо обучение и подкрепа от колегите
- Комфортно работно място с добро местоположение (на центъра, в близост до метростанция Сердика)

КАНДИДАТСТВАЙ САМО, АКО:
- Си енергичен и обичаш да общуваш
- Обичаш децата, настроен си приятелски към тях и те се чувстват добре около теб. Това е важно, защото основното ти задължение ще бъде да комуникираш с тях и да се грижиш за доброто им прекарване при нас.
- Обичаш да работиш в екип
- Търсиш гъвкаво работно време и можеш да работиш и събота и неделя
- Притежаваш добра компютърна и езикова грамотност
- Търсиш дългосрочна работа


КАК ДА КАНДИДАТСТВАШ:
Отговори на двата въпроса по-долу.


Очакваме те! :)"
7,https://www.jobs.bg/job/6516190,UniCredit Bulbank AD,,София,None,None,29.09.2022,Постоянна работа,Пълно работно време,None,None,
8,https://www.jobs.bg/job/6504975,БЪЛГЕРИАН ПРОПЕРТИС ООД,БРОКЕР НЕДВИЖИМИ ИМОТИ за околностите на София,София,2500,4000,21.09.2022,Постоянна работа,Пълно работно време,None,Подходяща и за кандидати с малък или без опит,"Вече 20 години BULGARIAN PROPERTIES е едно от най-разпознаваемите имена в сферата на недвижимите имоти, символ на професионализъм, устойчиво развитие и коректност към служители, клиенти и партньори.
Отстояваме лидерската си позиция с екипна работа, иновации и ползване на най-съвременни технологии.
Да работиш при нас означава гарантиран успех в имотните сделки!

Във връзка с разрастването на екипа ни в гр. София търсим

БРОКЕР НЕДВИЖИМИ ИМОТИ за района около София

Успешните кандидати биха имали:
Отлични търговски и комуникационни умения и желание за работа с хора
Умения за работа с MS Office, интернет браузъри и офис приложения за смартфон
Опит като брокер на недвижими имоти ще се смята за предимство
Владеене на английски език на работно ниво
Шофьорска книжка и опит в шофирането
Работата се състои в:
Набиране на имоти за продажба и под наем – осигурени от компанията и собствени канали в околностите на София
Срещи с клиенти и огледи на имоти
Комуникация с продавачи и купувачи, наемодатели и наематели, строителни предприемачи и други контрагенти
Преговори и посредничество между страните
Координация на процесите между всички страни, включително и вътре в компанията, до приключване на сделката
Да си част от нашия екип, означава да имаш:
Модерен офис с отлична работна атмосфера в екип от опитни професионалисти
Трудов договор с твърдо месечно възнаграждение плюс бонуси за постигнати резултати
Пълна мобилност чрез служебен лаптоп, телефон и разходи за транспорт
Мащабна реклама и иновативна презентация на имотите
Екип от уеб редактори, които публикуват твоите обяви
Кол център, който приема входящите запитвания
Юристи, които се грижат за правното обслужване на сделките
Мениджъри, които ще ти дават безценна помощ в професионалното развитие
Вълнуващи участия в медии, социални мрежи, фирмени партита и конференции
Ако предложената позиция отговоря на твоите възможности и желание за развитие, изпрати ни автобиография и актуална снимка.

Ще се свържем само с одобрените по документи кандидати.
Гарантираме пълна конфиденциалност на всички кандидатури.

Успех!"
9,https://www.jobs.bg/job/6526194,МУУН ИНФИНИТИ ЕООД,Маркетинг мениджър и поддръжка на социални мрежи,"Пловдив, улица Георги Кондолов 1 (виж карта)",1100,None,05.10.2022,Постоянна работа,"Пълно работно време,Непълно работно време",Подходяща и за студенти,None,"Предлагаме свободна позиция за Маркетинг специалист и рекламен мениджър в Дигитална агенция MOON - град Пловдив.

Работата се състои в създаване и управление на рекламни кампании в платформите на Facebook Ads и Google Ads.

Вашите задължения на работното ви място са:

- създаване на реклами в Facebook Ads;
- създаване на реклами в Google Ads;
- подготвяне на криейтиви / снимки;
- публикации за нашите клиенти в социалните мрежи;
- креативно мислене и нагласа;
- създаване на текстове за рекламни публикации;
- качване на продукти в Facebook каталози и управлението им;
- създаване на месечни отчети;
- комуникация с клиенти;

Предимства които може да притежавате са:

- предишен опит в сферата;
- качване и управление на съдържание в уеб сайтове;
- познания в създаването на уеб сайтове и онлайн магазини;

Гъвкав работен график – работа на 4 - 8 часа;
Работа в офис, в приятна и луксозна атмосфера;
Винаги коректно заплащане;
Кафе, напитки;

Възможност за развитие и Бонуси при отлични резултати!"
